job_id,job_city,job_industry,job_type,job_ownership,job_req_min_experience,received_callback,race,gender,years_college,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_gap,has_email_address,resume_quality
398,Chicago,other_service,secretary,public,0,0,black,F,4,YES,6,YES,NO,NO,NO,YES,NO,low
398,Chicago,other_service,secretary,public,0,0,white,F,4,YES,6,YES,NO,YES,NO,NO,YES,high
399,Chicago,finance_insurance_real_estate,secretary,private,0.1,0,white,F,4,YES,13,YES,YES,NO,NO,YES,NO,low
399,Chicago,finance_insurance_real_estate,secretary,private,0.1,0,black,F,4,NO,19,YES,YES,NO,NO,YES,NO,low
400,Chicago,wholesale_and_retail_trade,manager,private,0.1,0,white,M,2,YES,5,NO,NO,YES,NO,NO,YES,high
399,Chicago,finance_insurance_real_estate,secretary,private,0.1,0,black,F,4,NO,7,YES,YES,NO,YES,YES,YES,high
399,Chicago,finance_insurance_real_estate,secretary,private,0.1,0,white,F,4,YES,21,YES,NO,NO,NO,YES,YES,high
400,Chicago,wholesale_and_retail_trade,manager,private,0.1,0,black,M,2,YES,5,NO,YES,YES,NO,NO,YES,high
401,Chicago,business_and_personal_service,secretary,nonprofit,0,0,white,F,4,YES,4,YES,YES,NO,NO,YES,NO,low
401,Chicago,business_and_personal_service,secretary,nonprofit,0,0,black,F,4,YES,5,YES,YES,NO,NO,NO,YES,high
401,Chicago,business_and_personal_service,secretary,nonprofit,0,0,black,F,4,YES,6,YES,NO,NO,NO,NO,NO,low
401,Chicago,business_and_personal_service,secretary,nonprofit,0,0,white,F,3,YES,5,YES,NO,YES,NO,NO,YES,high
403,Chicago,other_service,manager,unknown,0,0,white,F,0,NO,5,YES,YES,YES,NO,NO,YES,high
402,Chicago,manufacturing,secretary,private,0,0,white,F,4,NO,6,NO,NO,NO,NO,NO,NO,low
403,Chicago,other_service,manager,unknown,0,0,black,F,4,YES,6,NO,NO,YES,NO,NO,YES,high
402,Chicago,manufacturing,secretary,private,0,0,black,F,4,NO,6,YES,YES,NO,NO,YES,NO,low
402,Chicago,manufacturing,secretary,private,0,0,black,F,4,YES,6,YES,NO,NO,NO,YES,YES,high
402,Chicago,manufacturing,secretary,private,0,0,white,F,3,YES,4,YES,NO,YES,YES,NO,YES,high
404,Chicago,business_and_personal_service,clerical,private,0,0,black,F,4,NO,8,YES,NO,YES,NO,YES,YES,high
404,Chicago,business_and_personal_service,clerical,private,0,0,white,F,4,YES,5,YES,NO,NO,NO,YES,NO,low
405,Chicago,wholesale_and_retail_trade,retail_sales,unknown,0,0,white,M,4,NO,5,NO,YES,YES,NO,NO,YES,high
405,Chicago,wholesale_and_retail_trade,retail_sales,unknown,0,0,black,M,1,NO,5,YES,YES,YES,NO,NO,YES,high
404,Chicago,business_and_personal_service,clerical,private,0,0,black,F,3,YES,6,YES,NO,NO,NO,NO,NO,low
405,Chicago,wholesale_and_retail_trade,retail_sales,unknown,0,0,white,F,4,NO,5,NO,YES,NO,NO,NO,NO,low
404,Chicago,business_and_personal_service,clerical,private,0,0,white,F,3,YES,3,YES,NO,YES,YES,NO,YES,high
405,Chicago,wholesale_and_retail_trade,retail_sales,unknown,0,0,black,M,4,NO,4,YES,YES,NO,NO,NO,NO,low
406,Chicago,manufacturing,secretary,private,2,0,white,F,4,YES,12,YES,NO,YES,NO,NO,YES,high
406,Chicago,manufacturing,secretary,private,2,0,black,F,3,YES,11,YES,NO,YES,NO,NO,YES,high
406,Chicago,manufacturing,secretary,private,2,0,black,F,4,NO,9,YES,NO,NO,NO,YES,NO,low
406,Chicago,manufacturing,secretary,private,2,0,white,F,4,NO,10,YES,NO,NO,NO,YES,NO,low
407,Chicago,other_service,manager,nonprofit,3,0,black,M,4,NO,5,YES,YES,NO,NO,YES,NO,low
407,Chicago,other_service,manager,nonprofit,3,0,white,M,4,NO,4,YES,YES,YES,NO,YES,YES,high
407,Chicago,other_service,manager,nonprofit,3,0,white,M,4,YES,4,YES,NO,NO,NO,NO,NO,low
407,Chicago,other_service,manager,nonprofit,3,0,black,M,4,YES,3,YES,NO,YES,NO,YES,YES,high
410,Chicago,wholesale_and_retail_trade,manager,private,0.1,0,black,M,2,NO,4,NO,YES,YES,NO,NO,YES,high
410,Chicago,wholesale_and_retail_trade,manager,private,0.1,1,white,M,2,YES,7,YES,NO,YES,NO,YES,YES,high
412,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,white,M,1,NO,3,YES,YES,NO,NO,NO,NO,low
411,Chicago,other_service,secretary,unknown,0.1,0,black,F,4,YES,3,YES,NO,NO,NO,NO,NO,low
411,Chicago,other_service,secretary,unknown,0.1,0,white,F,4,NO,2,YES,NO,NO,NO,YES,NO,low
411,Chicago,other_service,secretary,unknown,0.1,0,white,F,4,YES,4,YES,NO,NO,NO,NO,YES,high
412,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,black,F,4,YES,4,NO,YES,YES,NO,YES,YES,high
412,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,white,M,4,YES,4,YES,YES,YES,YES,NO,YES,high
411,Chicago,other_service,secretary,unknown,0.1,0,black,F,4,YES,4,YES,YES,NO,NO,NO,YES,high
412,Chicago,wholesale_and_retail_trade,manager,unknown,0,0,black,M,4,NO,2,YES,YES,NO,NO,NO,NO,low
413,Chicago,manufacturing,secretary,public,0,0,black,F,4,NO,10,YES,YES,YES,NO,YES,YES,high
414,Chicago,wholesale_and_retail_trade,manager,private,0.1,1,white,M,2,YES,4,NO,NO,YES,NO,YES,YES,high
414,Chicago,wholesale_and_retail_trade,manager,private,0.1,0,black,M,2,YES,5,NO,YES,YES,NO,NO,YES,high
413,Chicago,manufacturing,secretary,public,0,0,white,F,4,YES,11,YES,NO,YES,NO,YES,YES,high
413,Chicago,manufacturing,secretary,public,0,0,black,F,4,YES,3,YES,YES,NO,NO,NO,NO,low
413,Chicago,manufacturing,secretary,public,0,0,white,F,4,NO,2,YES,YES,NO,NO,YES,NO,low
415,Chicago,wholesale_and_retail_trade,supervisor,public,5,0,black,F,4,YES,7,YES,NO,NO,NO,NO,YES,high
415,Chicago,wholesale_and_retail_trade,supervisor,public,5,0,white,F,4,NO,7,YES,YES,YES,NO,YES,YES,high
416,Chicago,wholesale_and_retail_trade,manager,unknown,2,0,black,M,4,YES,4,NO,NO,YES,NO,YES,YES,high
416,Chicago,wholesale_and_retail_trade,manager,unknown,2,0,white,M,4,YES,4,NO,YES,YES,NO,NO,YES,high
417,Chicago,other_service,secretary,unknown,1,0,white,F,4,YES,4,YES,NO,YES,NO,NO,YES,high
418,Chicago,wholesale_and_retail_trade,manager,public,0.1,1,white,F,4,YES,6,NO,YES,YES,NO,NO,YES,high
417,Chicago,other_service,secretary,unknown,1,0,black,F,4,YES,6,YES,NO,YES,NO,YES,YES,high
418,Chicago,wholesale_and_retail_trade,manager,public,0.1,1,black,F,4,YES,6,NO,YES,YES,NO,YES,YES,high
419,Chicago,wholesale_and_retail_trade,manager,private,0,0,black,F,4,YES,6,NO,YES,YES,NO,NO,YES,high
419,Chicago,wholesale_and_retail_trade,manager,private,0,0,white,F,4,YES,6,NO,YES,YES,YES,NO,YES,high
420,Chicago,wholesale_and_retail_trade,manager,public,2,0,white,M,4,YES,6,NO,YES,YES,NO,NO,YES,high
420,Chicago,wholesale_and_retail_trade,manager,public,2,0,black,F,4,YES,4,NO,NO,YES,NO,NO,YES,high
421,Chicago,manufacturing,secretary,public,0,0,white,F,2,YES,23,YES,NO,YES,NO,YES,NO,low
421,Chicago,manufacturing,secretary,public,0,0,black,F,4,YES,5,YES,NO,NO,NO,YES,NO,low
421,Chicago,manufacturing,secretary,public,0,0,white,F,3,YES,4,YES,NO,NO,NO,NO,YES,high
421,Chicago,manufacturing,secretary,public,0,0,black,F,4,YES,4,YES,NO,NO,NO,YES,NO,high
422,Chicago,manufacturing,supervisor,private,5,0,white,F,3,NO,5,YES,NO,YES,NO,YES,NO,high
422,Chicago,manufacturing,supervisor,private,5,0,black,F,3,YES,5,YES,NO,YES,YES,NO,YES,high
422,Chicago,manufacturing,supervisor,private,5,0,black,F,3,YES,5,YES,YES,NO,NO,NO,NO,low
423,Chicago,wholesale_and_retail_trade,manager,public,0.1,0,white,F,2,NO,1,NO,YES,YES,NO,YES,NO,low
423,Chicago,wholesale_and_retail_trade,manager,public,0.1,0,black,F,4,NO,5,NO,YES,NO,NO,NO,NO,low
422,Chicago,manufacturing,supervisor,private,5,0,white,F,4,YES,5,YES,NO,NO,NO,YES,NO,low
425,Chicago,finance_insurance_real_estate,retail_sales,unknown,0.1,0,white,F,4,NO,5,NO,NO,NO,NO,NO,NO,low
424,Chicago,business_and_personal_service,supervisor,private,5,0,white,F,4,YES,8,YES,YES,NO,NO,NO,YES,high
425,Chicago,finance_insurance_real_estate,retail_sales,unknown,0.1,0,black,F,2,NO,4,NO,YES,NO,NO,NO,NO,low
424,Chicago,business_and_personal_service,supervisor,private,5,0,black,F,4,NO,9,YES,YES,YES,NO,YES,YES,high
426,Chicago,wholesale_and_retail_trade,supervisor,unknown,0.1,1,black,F,4,YES,9,YES,YES,YES,NO,NO,YES,high
426,Chicago,wholesale_and_retail_trade,supervisor,unknown,0.1,1,white,M,3,YES,5,NO,YES,YES,NO,YES,YES,high
428,Chicago,wholesale_and_retail_trade,manager,private,0,0,black,F,4,YES,6,NO,NO,YES,NO,YES,YES,high
427,Chicago,wholesale_and_retail_trade,supervisor,private,8,0,white,F,3,YES,8,YES,NO,NO,NO,NO,YES,high
427,Chicago,wholesale_and_retail_trade,supervisor,private,8,0,white,F,4,YES,9,YES,NO,NO,NO,YES,NO,low
427,Chicago,wholesale_and_retail_trade,supervisor,private,8,0,black,F,4,YES,9,YES,YES,NO,NO,NO,YES,high
428,Chicago,wholesale_and_retail_trade,manager,private,0,0,white,M,4,YES,5,NO,NO,YES,NO,NO,YES,high
427,Chicago,wholesale_and_retail_trade,supervisor,private,8,0,black,F,4,NO,10,YES,NO,NO,NO,YES,NO,low
429,Chicago,other_service,secretary,unknown,0.1,0,white,F,4,YES,8,YES,NO,NO,NO,NO,YES,high
430,Chicago,business_and_personal_service,manager,private,2,0,white,M,2,YES,6,YES,NO,YES,NO,YES,YES,high
429,Chicago,other_service,secretary,unknown,0.1,0,black,F,4,NO,5,YES,YES,YES,NO,YES,YES,high
430,Chicago,business_and_personal_service,manager,private,2,0,black,M,2,YES,4,NO,YES,YES,NO,NO,YES,high
431,Chicago,manufacturing,supervisor,private,3,0,black,F,3,YES,6,YES,NO,NO,NO,NO,NO,low
431,Chicago,manufacturing,supervisor,private,3,0,white,F,3,YES,4,YES,NO,YES,YES,NO,YES,high
431,Chicago,manufacturing,supervisor,private,3,0,white,F,2,NO,6,YES,NO,NO,NO,NO,NO,low
432,Chicago,wholesale_and_retail_trade,manager,unknown,2,0,black,F,0,NO,4,YES,YES,NO,NO,YES,NO,low
431,Chicago,manufacturing,supervisor,private,3,0,black,F,3,YES,5,YES,NO,YES,NO,NO,YES,high
432,Chicago,wholesale_and_retail_trade,manager,unknown,2,0,white,F,4,NO,4,NO,YES,NO,NO,NO,NO,low
433,Chicago,wholesale_and_retail_trade,manager,private,0,0,black,M,2,NO,6,NO,NO,NO,NO,NO,NO,low
433,Chicago,wholesale_and_retail_trade,manager,private,0,0,white,F,2,NO,4,NO,YES,NO,NO,NO,NO,low
434,Chicago,other_service,secretary,unknown,5,0,white,F,2,YES,7,YES,NO,YES,NO,YES,NO,low
434,Chicago,other_service,secretary,unknown,5,0,white,F,3,YES,9,YES,NO,NO,NO,NO,YES,high
434,Chicago,other_service,secretary,unknown,5,0,black,F,4,NO,7,YES,NO,NO,NO,YES,NO,low
434,Chicago,other_service,secretary,unknown,5,0,black,F,3,NO,8,YES,NO,YES,NO,YES,YES,high
435,Chicago,wholesale_and_retail_trade,manager,private,0.1,0,white,M,4,NO,6,YES,YES,NO,NO,YES,NO,low
435,Chicago,wholesale_and_retail_trade,manager,private,0.1,0,black,M,4,NO,9,YES,YES,NO,NO,YES,NO,low
436,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,white,F,3,NO,12,YES,NO,YES,NO,YES,YES,high
436,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,black,F,2,NO,6,YES,NO,NO,NO,NO,NO,low
436,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,black,F,4,YES,5,YES,NO,NO,NO,YES,YES,high
436,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,white,F,4,NO,7,YES,NO,NO,NO,YES,NO,low
438,Chicago,business_and_personal_service,retail_sales,unknown,0,0,black,F,4,NO,14,NO,NO,NO,NO,NO,YES,high
437,Chicago,business_and_personal_service,manager,private,0.1,0,white,F,4,YES,12,YES,NO,NO,NO,YES,NO,low
437,Chicago,business_and_personal_service,manager,private,0.1,0,black,F,4,NO,7,YES,YES,NO,YES,YES,YES,high
438,Chicago,business_and_personal_service,retail_sales,unknown,0,0,black,M,3,NO,3,NO,YES,NO,NO,YES,NO,low
438,Chicago,business_and_personal_service,retail_sales,unknown,0,0,white,F,2,NO,1,NO,YES,NO,NO,NO,NO,low
437,Chicago,business_and_personal_service,manager,private,0.1,0,black,F,4,NO,5,YES,NO,NO,NO,YES,NO,low
437,Chicago,business_and_personal_service,manager,private,0.1,0,white,F,4,YES,21,YES,NO,NO,NO,YES,YES,high
438,Chicago,business_and_personal_service,retail_sales,unknown,0,0,white,F,4,NO,2,YES,YES,NO,NO,YES,YES,high
439,Chicago,manufacturing,clerical,private,0,0,white,F,4,NO,7,YES,NO,NO,NO,YES,NO,low
440,Chicago,business_and_personal_service,sales_rep,unknown,0,1,white,M,4,NO,10,YES,NO,NO,NO,YES,YES,high
440,Chicago,business_and_personal_service,sales_rep,unknown,0,0,black,M,4,NO,10,NO,YES,NO,NO,YES,YES,high
439,Chicago,manufacturing,clerical,private,0,0,black,F,3,NO,7,YES,NO,YES,NO,YES,YES,high
440,Chicago,business_and_personal_service,sales_rep,unknown,0,1,white,M,4,NO,6,YES,YES,NO,YES,YES,NO,low
439,Chicago,manufacturing,clerical,private,0,0,white,F,4,YES,6,YES,NO,NO,NO,YES,YES,high
439,Chicago,manufacturing,clerical,private,0,0,black,F,2,NO,6,YES,NO,NO,NO,NO,NO,low
440,Chicago,business_and_personal_service,sales_rep,unknown,0,1,black,F,3,YES,11,YES,YES,NO,NO,YES,NO,low
125,Boston,business_and_personal_service,manager,private,3,0,black,F,4,YES,14,YES,YES,YES,NO,NO,NO,high
125,Boston,business_and_personal_service,manager,private,3,0,white,F,4,NO,8,YES,NO,NO,NO,NO,NO,low
73,Boston,wholesale_and_retail_trade,manager,private,3,0,white,F,4,NO,18,YES,NO,YES,NO,NO,NO,high
201,Boston,other_service,retail_sales,private,0.1,0,white,F,4,NO,7,NO,NO,NO,NO,YES,NO,low
184,Boston,wholesale_and_retail_trade,retail_sales,unknown,0.1,0,white,M,2,NO,8,NO,NO,NO,NO,YES,NO,low
100,Boston,other_service,manager,private,0.1,0,white,M,4,NO,26,NO,NO,NO,NO,NO,NO,low
1,Boston,manufacturing,manager,private,3,0,white,M,4,NO,18,YES,NO,YES,NO,NO,NO,high
184,Boston,wholesale_and_retail_trade,retail_sales,unknown,0.1,0,white,M,4,YES,6,YES,YES,YES,NO,NO,YES,high
201,Boston,other_service,retail_sales,private,0.1,0,black,F,4,YES,6,YES,NO,NO,NO,NO,NO,low
73,Boston,wholesale_and_retail_trade,manager,private,3,0,white,M,4,NO,26,NO,NO,NO,NO,NO,NO,low
125,Boston,business_and_personal_service,manager,private,3,0,white,M,4,NO,18,YES,NO,YES,NO,NO,NO,high
225,Boston,other_service,manager,nonprofit,2,0,white,F,4,NO,18,YES,NO,YES,NO,NO,NO,high
225,Boston,other_service,manager,nonprofit,2,0,black,F,4,NO,8,YES,NO,NO,NO,NO,NO,low
184,Boston,wholesale_and_retail_trade,retail_sales,unknown,0.1,0,black,F,4,NO,10,YES,NO,NO,YES,YES,YES,high
73,Boston,wholesale_and_retail_trade,manager,private,3,0,black,F,4,NO,8,YES,NO,NO,NO,NO,NO,low
100,Boston,other_service,manager,private,0.1,0,black,F,4,YES,14,YES,YES,YES,NO,NO,NO,high
1,Boston,manufacturing,manager,private,3,0,black,F,4,NO,26,NO,NO,NO,NO,NO,NO,low
100,Boston,other_service,manager,private,0.1,0,black,F,4,NO,8,YES,NO,NO,NO,NO,NO,low
73,Boston,wholesale_and_retail_trade,manager,private,3,0,black,F,4,YES,14,YES,YES,YES,NO,NO,NO,high
100,Boston,other_service,manager,private,0.1,0,white,F,4,NO,18,YES,NO,YES,NO,NO,NO,high
1,Boston,manufacturing,manager,private,3,0,white,M,4,NO,8,YES,NO,NO,NO,NO,NO,low
225,Boston,other_service,manager,nonprofit,2,0,black,M,4,YES,14,YES,YES,YES,NO,NO,NO,high
225,Boston,other_service,manager,nonprofit,2,0,white,F,4,NO,26,NO,NO,NO,NO,NO,NO,low
201,Boston,other_service,retail_sales,private,0.1,0,white,F,4,YES,2,YES,NO,YES,YES,NO,YES,high
125,Boston,business_and_personal_service,manager,private,3,0,black,F,4,NO,26,NO,NO,NO,NO,NO,NO,low
1,Boston,manufacturing,manager,private,3,0,black,F,4,YES,14,YES,YES,YES,NO,NO,NO,high
201,Boston,other_service,retail_sales,private,0.1,0,black,F,4,YES,8,YES,NO,YES,NO,NO,YES,high
184,Boston,wholesale_and_retail_trade,retail_sales,unknown,0.1,0,black,M,1,NO,10,NO,NO,NO,NO,YES,NO,low
441,Chicago,business_and_personal_service,manager,private,5,1,black,F,4,YES,8,YES,NO,NO,NO,NO,YES,high
441,Chicago,business_and_personal_service,manager,private,5,1,white,F,4,NO,8,YES,YES,YES,NO,YES,YES,high
442,Chicago,other_service,secretary,unknown,0,0,white,F,3,YES,9,YES,NO,NO,NO,NO,NO,low
442,Chicago,other_service,secretary,unknown,0,0,black,F,3,YES,9,YES,NO,YES,NO,YES,YES,high
442,Chicago,other_service,secretary,unknown,0,0,white,F,4,YES,12,YES,NO,NO,NO,NO,YES,high
442,Chicago,other_service,secretary,unknown,0,0,black,F,4,YES,15,YES,YES,NO,NO,YES,NO,low
444,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,white,F,4,YES,5,YES,NO,NO,NO,YES,YES,high
444,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,black,F,4,NO,11,YES,NO,NO,NO,YES,NO,low
444,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,black,F,3,YES,3,YES,NO,YES,YES,NO,YES,high
444,Chicago,finance_insurance_real_estate,secretary,unknown,0,0,white,F,2,NO,6,YES,NO,NO,NO,NO,NO,low
445,Chicago,business_and_personal_service,secretary,private,0,1,white,F,4,YES,4,YES,NO,NO,NO,YES,YES,high
445,Chicago,business_and_personal_service,secretary,private,0,0,black,F,4,NO,5,YES,NO,NO,NO,YES,NO,low
445,Chicago,business_and_personal_service,secretary,private,0,0,black,F,3,YES,4,YES,NO,YES,YES,NO,YES,high
445,Chicago,business_and_personal_service,secretary,private,0,0,white,F,2,NO,6,YES,NO,NO,NO,NO,NO,low
446,Chicago,business_and_personal_service,retail_sales,private,0,0,white,F,3,NO,7,NO,NO,NO,NO,NO,NO,low
446,Chicago,business_and_personal_service,retail_sales,private,0,0,white,M,4,YES,3,YES,YES,YES,NO,NO,YES,high
446,Chicago,business_and_personal_service,retail_sales,private,0,0,black,F,4,NO,3,YES,YES,NO,NO,NO,NO,low
446,Chicago,business_and_personal_service,retail_sales,private,0,0,black,M,1,NO,4,YES,YES,YES,NO,NO,YES,high
447,Chicago,manufacturing,retail_sales,private,0,0,black,F,2,NO,4,NO,YES,NO,NO,NO,NO,low
447,Chicago,manufacturing,retail_sales,private,0,0,white,M,2,NO,7,NO,NO,NO,NO,YES,NO,low
448,Chicago,business_and_personal_service,secretary,unknown,0.1,0,white,F,4,NO,11,YES,YES,NO,YES,YES,YES,high
448,Chicago,business_and_personal_service,secretary,unknown,0.1,0,white,F,4,NO,10,YES,NO,NO,NO,YES,NO,low
448,Chicago,business_and_personal_service,secretary,unknown,0.1,0,black,F,4,YES,12,YES,NO,NO,NO,NO,NO,low
448,Chicago,business_and_personal_service,secretary,unknown,0.1,0,black,F,4,YES,10,YES,NO,YES,NO,NO,YES,high
449,Chicago,other_service,secretary,private,0,0,black,F,4,NO,5,YES,NO,NO,NO,YES,NO,low
449,Chicago,other_service,secretary,private,0,0,white,F,3,YES,5,YES,NO,NO,NO,NO,YES,high
449,Chicago,other_service,secretary,private,0,0,black,F,3,NO,6,YES,YES,YES,NO,YES,YES,high
449,Chicago,other_service,secretary,private,0,0,white,F,4,YES,5,YES,NO,NO,NO,YES,NO,low
450,Chicago,business_and_personal_service,clerical,unknown,1,0,white,F,3,NO,4,YES,NO,NO,NO,YES,NO,low
450,Chicago,business_and_personal_service,clerical,unknown,1,0,white,F,4,YES,6,YES,NO,YES,NO,NO,YES,high
450,Chicago,business_and_personal_service,clerical,unknown,1,0,black,F,4,NO,25,YES,NO,NO,NO,YES,NO,low
450,Chicago,business_and_personal_service,clerical,unknown,1,0,black,F,4,YES,21,YES,NO,NO,NO,YES,YES,high
451,Chicago,other_service,secretary,unknown,2,0,white,F,4,YES,6,YES,YES,NO,NO,NO,YES,high
451,Chicago,other_service,secretary,unknown,2,0,white,F,3,YES,6,YES,NO,NO,NO,NO,NO,low
451,Chicago,other_service,secretary,unknown,2,0,black,F,3,YES,4,YES,NO,NO,NO,NO,NO,low
451,Chicago,other_service,secretary,unknown,2,0,black,F,3,YES,5,YES,NO,YES,NO,NO,YES,high
452,Chicago,finance_insurance_real_estate,secretary,private,0,0,black,F,3,YES,9,YES,NO,NO,NO,NO,NO,low
